S.No,Title,Short Name,Organiser,Type,Eligibility (Class),Reg. Opens,Reg. Closes,Exam / Event Date,Results,Fee,Prizes / Awards,Registration Process,Official Website,Level,Pathway / Stage,Short Description,Tags,Confidence,Myark Slug
1,National Standard Examination in Physics (NSEP),NSEP,IAPT / HBCSE TIFR,Science Olympiad,Class 11–12,Aug 2026,Sep 14 2026,Nov 22 2026,Dec 2026,₹200 approx,"Medals, certificates; qualifies to INPhO","Through school or IAPT registered centre. Register at iapt.net.in. Pay fee online. School must be registered first. No individual registration allowed.",iapt.net.in / olympiads.hbcse.tifr.res.in,National → International,Stage 1 of 5 (NSE → INO → OCSC → PDC → IPhO),First stage of the HBCSE Physics Olympiad pathway. Tests Class 11–12 Physics plus advanced topics. Top performers qualify for INPhO and eventually represent India at the International Physics Olympiad (IPhO).,"physics, science, olympiad, class 11-12, HBCSE, IAPT, national",10/10,national-standard-examination-physics-nsep-2026
2,National Standard Examination in Chemistry (NSEC),NSEC,IAPT / HBCSE TIFR,Science Olympiad,Class 11–12,Aug 2026,Sep 14 2026,Nov 22 2026,Dec 2026,₹200 approx,"Medals, certificates; qualifies to INChO","Through school or IAPT registered centre. Register at iapt.net.in. School must be registered first.",iapt.net.in / olympiads.hbcse.tifr.res.in,National → International,Stage 1 of 5 (NSE → INO → OCSC → PDC → IChO),First stage of HBCSE Chemistry Olympiad pathway. Tests Physical Organic and Inorganic Chemistry beyond Class 12. Top performers represent India at IChO.,"chemistry, science, olympiad, class 11-12, HBCSE, IAPT, national",10/10,national-standard-examination-chemistry-nsec-2026
3,National Standard Examination in Biology (NSEB),NSEB,IAPT / HBCSE TIFR,Science Olympiad,Class 11–12,Aug 2026,Sep 14 2026,Nov 22 2026,Dec 2026,₹200 approx,"Medals, certificates; qualifies to INBO","Through school or IAPT registered centre. Register at iapt.net.in.",iapt.net.in / olympiads.hbcse.tifr.res.in,National → International,Stage 1 of 5 (NSE → INBO → OCSC → PDC → IBO),First stage of HBCSE Biology Olympiad. Tests Cell Biology Genetics Ecology Human Physiology. Top performers represent India at IBO — International Biology Olympiad.,"biology, science, olympiad, class 11-12, HBCSE, IAPT, national",10/10,national-standard-examination-biology-nseb-2026
4,National Standard Examination in Astronomy (NSEA),NSEA,IAPT / HBCSE TIFR,Astronomy Olympiad,"Class 10–12 (DOB Jul 1 2006 – Jun 30 2011)",Aug 21 2026,Sep 14 2026,Nov 22 2026,Dec 2026,₹200 approx,"Medals, national recognition; qualifies to INAO","Through school or IAPT registered centre. Register at iapt.net.in. Must not appear in NSEJS in same year.",iapt.net.in / olympiads.hbcse.tifr.res.in,National → International,Stage 1 of 5 (NSEA → INAO → OCSC → PDC → IOAA),First stage of HBCSE Astronomy Olympiad. Tests Physics Mathematics and elementary Astronomy at Class 12 level. Top 4 students represent India at IOAA.,"astronomy, astrophysics, science, olympiad, class 10-12, HBCSE, IAPT, national, IOAA",10/10,national-standard-examination-astronomy-nsea-2026
5,National Standard Examination in Junior Science (NSEJS),NSEJS,IAPT / HBCSE TIFR,Science Olympiad,"Class 8–10 (below 15 years on Dec 31 2026)",Aug 21 2026,Sep 14 2026,Nov 2026,Dec 2026,₹200 approx,"Medals, certificates; qualifies to INJSO","Through school or IAPT registered centre. Cannot appear in NSEA/NSEP/NSEC/NSEB in same year.",iapt.net.in / olympiads.hbcse.tifr.res.in,National → International,Stage 1 of 5 (NSEJS → INJSO → OCSC → PDC → IJSO),First stage for IJSO pathway. For students up to Class 10. Physics Chemistry Biology combined. Qualifiers proceed to INJSO then represent India at IJSO.,"science, junior, olympiad, class 8-10, HBCSE, IAPT, national, IJSO",10/10,national-standard-examination-junior-science-nsejs-2026
6,Indian Olympiad Qualifier in Mathematics (IOQM),IOQM,MTA / HBCSE / TIFR,Mathematics Olympiad,"Class 8–12, Indian students",Jun 30 2026,Jul 25 2026,Sep 2026,Oct 2026,₹200 approx,"Qualifies to RMO; top 6 represent India at IMO","Individual registration at ioqmexam.in or through school/KV/JNV. School centre registration from June 9. Individual online from June 30.",ioqmexam.in / olympiads.hbcse.tifr.res.in,National → International,Stage 1 of 5 (IOQM → RMO → INMO → IMOTC → IMO),First stage of International Mathematical Olympiad selection for India. 30-question 3-hour paper. Top performers qualify for RMO then INMO. Top 6 represent India at IMO.,"mathematics, olympiad, class 8-12, HBCSE, MTA, national, IMO, INMO, RMO",10/10,indian-olympiad-qualifier-mathematics-ioqm-2026
7,Regional Mathematical Olympiad (RMO),RMO,HBCSE / MTA,Mathematics Olympiad,"Class 8–12 (IOQM qualifiers only)",Auto from IOQM,Auto selection,Nov 2026,Dec 2026,Nil (covered by IOQM),Qualifies to INMO,Automatic selection based on IOQM performance. Region-wise examination. No separate registration required.,olympiads.hbcse.tifr.res.in,Regional → National,Stage 2 of 5 (IOQM → RMO → INMO → IMOTC → IMO),Second stage of IMO selection. 6 proof-based problems over 3 hours. Top students from each region qualify for INMO — the national final.,"mathematics, olympiad, class 8-12, HBCSE, national, IMO, RMO, regional",10/10,regional-mathematical-olympiad-rmo-2026
8,Indian National Mathematical Olympiad (INMO),INMO,HBCSE / MTA,Mathematics Olympiad,"Class 8–12 (RMO qualifiers only)",Auto from RMO,Auto selection,Jan 2027,Feb 2027,Nil,INMO certificate; top 6 to IMOTC and IMO team,Automatic selection from RMO. No separate registration.,olympiads.hbcse.tifr.res.in,National → International,Stage 3 of 5 (IOQM → RMO → INMO → IMOTC → IMO),National final of Mathematical Olympiad. Extremely challenging proof-based problems over 4 hours. Top 30–50 selected for IMOTC. Top 6 represent India at IMO.,"mathematics, olympiad, class 8-12, HBCSE, national, IMO, INMO",10/10,indian-national-mathematical-olympiad-inmo-2026
9,Indian National Physics Olympiad (INPhO),INPhO,HBCSE TIFR,Physics Olympiad,NSEP qualifiers only,Auto from NSEP,Auto selection,Jan/Feb 2027,Feb 2027,Nil,"Medal; top 35 to OCSC; top 5 represent India at IPhO","Automatic selection based on NSEP performance. Conducted at designated HBCSE centres.",olympiads.hbcse.tifr.res.in,National → International,Stage 2 of 5 (NSEP → INPhO → OCSC → PDC → IPhO),Second stage of IPhO selection. Rigorous theoretical and experimental exam. Top 35 attend OCSC at HBCSE Mumbai. Top 5 represent India at IPhO.,"physics, olympiad, class 11-12, HBCSE, national, IPhO, INPhO",10/10,indian-national-physics-olympiad-inpho-2027
10,Indian National Chemistry Olympiad (INChO),INChO,HBCSE TIFR,Chemistry Olympiad,NSEC qualifiers only,Auto from NSEC,Auto selection,Jan/Feb 2027,Feb 2027,Nil,"Medal; top 35 to OCSC; top 4 represent India at IChO","Automatic selection from NSEC. No separate registration.",olympiads.hbcse.tifr.res.in,National → International,Stage 2 of 5 (NSEC → INChO → OCSC → PDC → IChO),Second stage of IChO selection. Theoretical and lab-based exam. Top performers attend OCSC at HBCSE. Top 4 represent India at International Chemistry Olympiad.,"chemistry, olympiad, class 11-12, HBCSE, national, IChO, INChO",10/10,indian-national-chemistry-olympiad-incho-2027
